Filepath,Width,Height,BandCount,Band1_Min,Band1_Max,Band1_Mean,Band1_StdDev,Band1_BlockMean,Band1_BandSumVariance,Band2_Min,Band2_Max,Band2_Mean,Band2_StdDev,Band2_BlockMean,Band2_BandSumVariance,Band3_Min,Band3_Max,Band3_Mean,Band3_StdDev,Band3_BlockMean,Band3_BandSumVariance,Band4_Min,Band4_Max,Band4_Mean,Band4_StdDev,Band4_BlockMean,Band4_BandSumVariance,Band5_Min,Band5_Max,Band5_Mean,Band5_StdDev,Band5_BlockMean,Band5_BandSumVariance,Band6_Min,Band6_Max,Band6_Mean,Band6_StdDev,Band6_BlockMean,Band6_BandSumVariance
./sentinel/dataset/chop_fire/tile_1_0_5.tif,512,512,6,0.000000,0.521000,0.253364,0.070240,0.253364,310.649308,0.000000,0.574400,0.273524,0.078565,0.273524,369.850837,0.000000,0.570300,0.271337,0.076539,0.271337,387.265018,0.000000,0.535000,0.257235,0.073693,0.257235,427.201627,0.013600,0.488600,0.257775,0.062916,0.257775,176.527028,0.026600,1.681700,0.187094,0.248128,0.187094,2988.078739
./sentinel/dataset/chop_fire/tile_2_0_2.tif,512,512,6,0.120300,0.201900,0.162644,0.012906,0.162644,23.773947,0.093200,0.366300,0.141417,0.013447,0.141417,18.379191,0.078600,0.367900,0.124962,0.012177,0.124962,7.250330,0.051100,0.415800,0.125478,0.018053,0.125478,4.295270,0.057900,0.537500,0.169946,0.040543,0.169946,72.255053,0.032000,0.747100,0.161472,0.029069,0.161472,24.251614
./sentinel/dataset/chop_fire/tile_3_1_3.tif,512,512,6,0.000000,0.402300,0.065098,0.106012,0.065098,760.605250,0.000100,0.435200,0.073747,0.104028,0.073747,739.710921,0.000100,0.396800,0.077046,0.089487,0.077046,559.964211,0.000100,0.332200,0.067082,0.074923,0.067082,371.979739,0.025200,0.359800,0.159704,0.032222,0.159704,61.684067,0.000000,1.634200,0.084103,0.112158,0.084103,112.886613
./sentinel/dataset/chop_fire/tile_0_0_5.tif,512,512,6,0.106600,0.386800,0.219755,0.050779,0.219755,279.691837,0.112900,0.399100,0.232626,0.053719,0.232626,360.816959,0.120100,0.379000,0.228252,0.048602,0.228252,331.825189,0.112300,0.337500,0.216856,0.039009,0.216856,250.936021,0.129200,0.391400,0.269071,0.026045,0.269071,75.222193,0.048700,0.309600,0.181319,0.043709,0.181319,89.166823
./sentinel/dataset/chop_fire/tile_1_1_1.tif,512,512,6,0.166900,0.213000,0.184180,0.007530,0.184180,11.606047,0.130000,0.230500,0.150891,0.008822,0.150891,10.888927,0.102900,0.239700,0.126257,0.009797,0.126257,5.265036,0.074200,0.285100,0.106801,0.017561,0.106801,10.653403,0.075700,0.414100,0.199551,0.050488,0.199551,107.020464,0.000000,1.534800,0.108498,0.044270,0.108498,30.427066
./sentinel/dataset/chop_fire/tile_1_0_1.tif,512,512,6,0.187400,0.242100,0.204519,0.006714,0.204519,5.388904,0.149200,0.290000,0.171408,0.008041,0.171408,4.575944,0.119400,0.301900,0.142341,0.009892,0.142341,2.412456,0.089200,0.373000,0.127959,0.016968,0.127959,2.535025,0.076500,0.458500,0.167346,0.050816,0.167346,5.410562,0.003800,1.460300,0.151080,0.093130,0.151080,107.041563
./sentinel/dataset/chop_fire/tile_1_1_2.tif,512,512,6,0.098500,0.306700,0.129429,0.012007,0.129429,8.808286,0.061100,0.836700,0.112249,0.018494,0.112249,13.093863,0.040800,0.900100,0.107322,0.020873,0.107322,15.928652,0.025500,1.036000,0.112816,0.035188,0.112816,44.836149,0.016800,1.140700,0.218055,0.056942,0.218055,84.042696,0.015200,1.219300,0.160879,0.052801,0.160879,127.792343
./sentinel/dataset/chop_fire/tile_3_1_2.tif,512,512,6,0.087700,0.555400,0.146467,0.046731,0.146467,3.563371,0.061600,0.647900,0.127584,0.049537,0.127584,6.663202,0.044800,0.657300,0.110663,0.045814,0.110663,14.425086,0.026900,0.707900,0.103363,0.047569,0.103363,50.516240,0.042400,0.627100,0.171357,0.030783,0.171357,16.890879,0.008700,1.418400,0.101219,0.037739,0.101219,48.559505
./sentinel/dataset/chop_fire/tile_3_0_4.tif,512,512,6,0.010400,0.310100,0.035769,0.020925,0.035769,14.556845,0.011800,0.392200,0.042739,0.022944,0.042739,13.308404,0.011400,0.706200,0.089115,0.050919,0.089115,40.349897,0.009600,0.534700,0.054415,0.032889,0.054415,13.676038,0.030600,0.574100,0.226345,0.042589,0.226345,27.185154,0.011400,0.706200,0.089115,0.050919,0.089115,40.349897
./sentinel/dataset/chop_fire/tile_0_1_3.tif,512,512,6,0.000000,0.067300,0.006342,0.005572,0.006342,0.972780,0.000100,0.178400,0.013303,0.010083,0.013303,1.107199,0.000100,0.221200,0.025036,0.014273,0.025036,1.651154,0.000100,0.264200,0.019938,0.018595,0.019938,3.869865,0.020100,0.724800,0.184123,0.060461,0.184123,26.287665,0.005900,0.264200,0.046432,0.032890,0.046432,19.118828
./sentinel/dataset/chop_fire/tile_3_0_3.tif,512,512,6,0.000000,0.036300,0.006318,0.004682,0.006318,0.316726,0.000100,0.128600,0.016520,0.007855,0.016520,0.656466,0.000100,0.137200,0.027935,0.009282,0.027935,0.797125,0.000100,0.164200,0.025901,0.013664,0.025901,2.096067,0.040200,0.424900,0.153269,0.027333,0.153269,10.382724,0.011200,0.228700,0.057954,0.025558,0.057954,10.170607
./sentinel/dataset/chop_fire/tile_2_0_4.tif,512,512,6,0.023400,0.539800,0.191275,0.104565,0.191275,484.985583,0.024700,0.670200,0.210398,0.116613,0.210398,604.136009,0.008500,1.511100,0.125386,0.112703,0.125386,286.389619,0.019400,0.723100,0.207397,0.114685,0.207397,649.314703,0.045200,0.681800,0.258507,0.057352,0.258507,47.835183,0.008500,1.511100,0.125386,0.112703,0.125386,286.389619
./sentinel/dataset/chop_no_firee/tile_0_1_2.tif,512,512,6,0.115700,0.164300,0.137064,0.008086,0.137064,2.344661,0.082600,0.187500,0.108440,0.011533,0.108440,2.881245,0.057000,0.199700,0.095684,0.014423,0.095684,3.183541,0.036500,0.227600,0.078952,0.022596,0.078952,7.216888,0.033800,0.393100,0.210518,0.038202,0.210518,15.730113,0.004600,0.281300,0.105672,0.046240,0.105672,34.621800
./sentinel/dataset/chop_no_firee/tile_3_1_1.tif,512,512,6,0.138100,0.170400,0.154033,0.006062,0.154033,5.110639,0.102000,0.161200,0.121084,0.007217,0.121084,5.572542,0.081100,0.156600,0.102168,0.008011,0.102168,5.465932,0.054300,0.170700,0.080267,0.014885,0.080267,13.087117,0.069300,0.378700,0.202284,0.023605,0.202284,11.825377,0.028000,0.263400,0.084623,0.035952,0.084623,64.619290
./sentinel/dataset/chop_no_firee/tile_2_1_7.tif,512,512,6,0.009400,0.721300,0.097680,0.071200,0.097680,148.787835,0.006100,0.840000,0.105012,0.076318,0.105012,175.430082,0.010000,0.818400,0.108265,0.071128,0.108265,160.774640,0.005200,0.747200,0.103513,0.066229,0.103513,116.317279,0.010000,0.761600,0.171092,0.058838,0.171092,150.036035,0.000000,1.511500,0.130591,0.072896,0.130591,232.727659
./sentinel/dataset/chop_no_firee/tile_0_1_1.tif,512,512,6,0.123000,0.169100,0.143797,0.008007,0.143797,4.353506,0.092300,0.180900,0.114061,0.008848,0.114061,4.531150,0.071500,0.158000,0.095380,0.010622,0.095380,5.003345,0.047100,0.184600,0.073202,0.017236,0.073202,10.147809,0.077100,0.412900,0.201190,0.040159,0.201190,14.832017,0.021100,0.246300,0.073420,0.039779,0.073420,48.862805
./sentinel/dataset/chop_no_firee/tile_1_0_6.tif,512,512,6,0.104900,0.872400,0.138772,0.057958,0.138772,120.428002,0.075900,0.967400,0.108384,0.063070,0.108384,137.488635,0.055200,0.977400,0.101957,0.063120,0.101957,134.301536,0.031800,1.042800,0.067598,0.072911,0.067598,174.012064,0.027700,1.102900,0.315769,0.079357,0.315769,149.525419,0.002800,0.608400,0.079981,0.054328,0.079981,70.419932
./sentinel/dataset/chop_no_firee/tile_3_0_6.tif,512,512,6,0.100000,1.061000,0.212429,0.171466,0.212429,1487.606620,0.074800,1.176800,0.188514,0.184998,0.188514,1630.878593,0.047800,1.201600,0.178222,0.185047,0.178222,1541.201429,0.027200,1.329400,0.161745,0.207271,0.161745,1810.788690,0.024900,1.322500,0.307905,0.195630,0.307905,2223.380282,0.000600,0.629800,0.108263,0.115245,0.108263,629.629566
./sentinel/dataset/chop_no_firee/tile_1_1_6.tif,512,512,6,0.122400,0.914800,0.158046,0.075362,0.158046,110.301305,0.087900,1.022500,0.131046,0.083000,0.131046,119.032478,0.061800,1.043000,0.125247,0.084046,0.125247,109.778463,0.037100,1.128500,0.102228,0.099561,0.102228,150.156305,0.036900,1.181500,0.264503,0.137627,0.264503,738.274602,0.000600,0.607900,0.082725,0.083281,0.082725,96.493408
